"","Akkermansia","Alistipes","Allobaculum","Alloprevotella","Anaeroplasma","Anaerotruncus","Anaerovoracaceae_Family_XIII_UCG-001","Bacillus","Bacteroides","Bifidobacterium","Blautia","Butyricicoccus","Candidatus_Arthromitus","Clostridia_UCG-014","Clostridia_vadinBB60_group","Colidextribacter","Corynebacterium","Desulfovibrio","Enterorhabdus","Escherichia-Shigella","Eubacterium_nodatum_group","Eubacterium_oxidoreducens_group","Eubacterium_xylanophilum_group","Helicobacter","Incertae_Sedis","Intestinimonas","Lachnoclostridium","Lachnospiraceae_A2","Lachnospiraceae_ASF356","Lachnospiraceae_FCS020_group","Lachnospiraceae_GCA-900066575","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG-001","Lachnospiraceae_UCG-006","Lactobacillus","Mucispirillum","Muribaculaceae","Muribaculum","Oscillibacter","Oscillospirales_UCG-010","Parasutterella","Prevotellaceae_UCG-001","Rikenellaceae_RC9_gut_group","Roseburia","Staphylococcus"
"Blautia",0,0,0,0,0.423133959466139,0.443466496630265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655956500247158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus",0,0,0,0,0,0,0.494003868253701,0,0,-0.513001446826433,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.619065548837567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_UCG-014",0,0,0,0,0.456147985397591,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_vadinBB60_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762540176479009,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colidextribacter",0,0,-0.45185424021606,0,0,0.448956096156373,0,0,0,0,0.564432507601571,0.561650597651738,0,0,0,1,0,0,0,0,0,0,0,0,0.671849969518289,0,0,0,0,0,0,0,0,0.679739806558702,0,0,0,0,0.783168316831683,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio",0,0,0,0,0,0,0,0,-0.481225296442688,0,0,0,0.619065548837567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus",0,0,0,0,0,0,0,-0.413302739971355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia-Shigella",0,0,0,0,0,0,0,0.436705612249497,0,0,-0.433714477919021,0,0,0,0,-0.440023132926968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_nodatum_group",0,0,0,0,0,0,0,0.422430881598548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_xylanophilum_group",0,0,0,0,0,0.454116511054723,0,0,0,0,0,0,0,0,0,0.448514851485148,-0.413545563534588,0,0,0,0,0,1,0,0.679132896017132,0,0,0,0,0,0,0,0,0.638469889731924,0,0,0,0,0.705940594059406,0,0,0,0,0.684158415841584,0
"Helicobacter",0,0,0,0,0,0.536668099151217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508407766011994,1,0,0,0,0,0,0,0,0,0,0,0,0.620553359683795,0,0,0,0,0,0,0,0.748763966675252,0
"Incertae_Sedis",-0.452121762902083,0,0,0,0,0.423556403630351,0,0,0,0,0.580382571023605,0,0,0,0,0.671849969518289,0,0,0,0,0,0,0.679132896017132,0.413503782143272,1,0,0,0,0,0.745815684717648,0,0,0,0.856026785714286,0,0,0,0,0.72040281284391,0,0,0,0,0,0
"Intestinimonas",0,0,0,0,0,0.529073410665118,0,0,0,0,0.537839971343391,0,0,0,0,0,0,0,0,0,0,0,0.420024053253704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661822254489955,0,0,0,0
"Lachnoclostridium",0,0,0,0,0,0.605898992489025,0,0,0,0,0.582550667325754,0,0,0,0,0,0,0,0,0,0,0,0.435815108849241,0.428465543102593,0.530046360579551,0.440511468844463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682480870847383,0.62923588928063,0
"Lachnospiraceae_A2",0,0,0,0,0,0.547629557466677,0,0,0,0,0.655956500247158,0,0,0,0.513346515076619,0.543161168577147,0,0,0,-0.463625821223781,0,0,0,0.469483582407685,0.526407598378776,0.49144227426171,0,1,0.660899653979239,0,0,0,0.730919848464837,0,0,0,0,0,0,0,0,0,0,0.681672213387349,0
"Lachnospiraceae_ASF356",0,0,0,0,0,0.517205693162972,0,0,0,0,0.515076618882847,0,0,0,0,0.517437688826681,0,0,0,-0.586262328773298,-0.454770087845327,0,0,0.519891293360932,0.451206512896094,0.517574310549094,0,0.660899653979239,1,0,0,0,0,0,0,0.660242174838597,0,0,0,0,0,0,0,0.673757296541052,0
"Lachnospiraceae_FCS020_group",0,0,0,0,0,0,0,0,0,0,0.468749889573109,0,0,0,0,0.526438090475889,0,0,0,0,0,0,0.445615645050131,0.448448441905934,0.745815684717648,0,0.428368641810117,0.480209432857201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_GCA-900066575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600099198148979,0.427403919112089,0,0.438600484721937,0,0.466336658990125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,0.4199604743083,0,-0.464063808806806,0,0,0.762540176479009,0,0,0,0,0,0,0.520595218243272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580495736004533,0,0,0,0,-0.526892592897499,0,0,0,0,0.506275908899008,0,0,0.730919848464837,0.538094308331158,0,0,0.415330396001537,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-006",0,0,0,0,0,0.455188696657263,0,0,0,0,0.545814330116243,0,0,0,0,0.679739806558702,0,0,0,0,0,0,0.638469889731924,0.41592902426728,0.856026785714286,0,0.448174211062115,0.503362104440535,0.548240171583426,0.561704990554854,0.42899653421394,0,0.46726015078202,1,0,0,0,0,0.662139400853164,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0.679021518134905,0,0,-0.508030655489579,-0.561095332466411,0,0,0,-0.555885534044242,0.482206016346617,0,0,0.426131333470571,0,0,0,0,0,0,-0.571781584048097,0,0,0,0,0,0,-0.451095035065388,1,0,0,0,-0.648862829774062,0,0,0,0,0,0
"Mucispirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426488770124034,0.454006156808376,0,0,0,-0.484444042261281,0,0,0.522255448354733,0.620553359683795,0.525671230378618,0,0.449221659377459,0.488262925703993,0.660242174838597,0.498639751705624,0,0,0.453684114222821,0.511119777634573,0,1,-0.646245059288537,0,0,0,0,0,0,0.682492915463571,0
"Muribaculaceae",0,0,0,0,0,-0.765564003111966,0,0,0,0,0,-0.426094951722613,0,0,0,0,0,0,0,0,0,0,-0.471810319820469,-0.58300395256917,0,-0.493186968391982,-0.439337794484666,-0.457128751291694,-0.530269351498365,0,0,0,0,0,0,-0.646245059288537,1,0,0,0,0,0,0,0,0
"Muribaculum",0,0,0,0,0,-0.488723686835114,0,0,0,0,0,0,0,0,0,0,0.445113245858416,0,0,0,0,0,-0.441147594632975,0,0,-0.612618191007986,0,-0.500617756819985,-0.420558451188358,0,-0.46274053365743,0,0,0,0,0,0.536561264822134,1,0,0,-0.650571199765002,0,0,0,0
"Oscillibacter",0,0,0,0,0,0.477854419587128,0,-0.501113172831193,0,0,0.5698740129334,0.429050381364034,0,0,0,0.783168316831683,-0.521093016590022,0,0,-0.502883580487963,0,0,0.705940594059406,0,0.72040281284391,0,0.600049633409909,0.475884375383621,0.419490592853753,0.54937418985347,0,0,0.45261762346978,0.662139400853164,-0.648862829774062,0.539070491199488,-0.421365191286205,0,1,0,0,0,0.631058666761969,0.653465346534653,0
"Oscillospirales_UCG-010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534975789192954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Parasutterella",0,0.59479063091283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661822254489955,0,0.421489954923099,0.417244732355528,0,0,0.479591630022476,0,0,0,0,0,-0.650571199765002,0,0,1,0,0,0,0
"Prevotellaceae_UCG-001",0.69214065719621,0,0.575027019946594,0,0,0,0,0,-0.459481268574672,0.478838572572275,0,0,0,0,0.434118387670075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rikenellaceae_RC9_gut_group",0,0,0,0,0,0.543885537564393,0,0,0,0,0.589572540855125,0,0,0.435102519438372,0,0.527201049191426,-0.470694466884762,0,0,0,0,0,0.47082119965313,0.465415019762846,0.551136272680696,0,0.682480870847383,0.440326180973945,0,0.418988325284376,0,0,0.4440956846675,0.423204750639302,0,0,-0.482213438735178,0,0.631058666761969,0,0,0,1,0.633036907096646,0
"Roseburia",0,0,0,0,0,0.606864792045856,0,0,0,0,0.504575948951448,0,0,0,0.43977256727239,0.506930693069307,-0.467319290062305,0,0,0,0,0,0.684158415841584,0.748763966675252,0.592344688572583,0.554517142732654,0.62923588928063,0.681672213387349,0.673757296541052,0.446707840258587,0.414653648615668,0,0.578400869277788,0.565033714201921,0,0.682492915463571,-0.567754976052304,-0.432245513126929,0.653465346534653,0,0,0,0.633036907096646,1,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567588492135048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46274053365743,0,0,0,0,0,0,1
