"","Akkermansia","Alistipes","Allobaculum","Alloprevotella","Anaeroplasma","Anaerotruncus","Anaerovoracaceae_Family_XIII_UCG-001","Bacillus","Bacteroides","Bifidobacterium","Blautia","Butyricicoccaceae_UCG-009","Butyricicoccus","Candidatus_Arthromitus","Clostridia_UCG-014","Clostridia_vadinBB60_group","Colidextribacter","Corynebacterium","Desulfovibrio","Enterorhabdus","Eubacterium_oxidoreducens_group","Eubacterium_xylanophilum_group","Helicobacter","Incertae_Sedis","Intestinimonas","Lachnoclostridium","Lachnospiraceae_A2","Lachnospiraceae_ASF356","Lachnospiraceae_FCS020_group","Lachnospiraceae_GCA-900066575","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG-001","Lachnospiraceae_UCG-006","Lactobacillus","Mucispirillum","Muribaculaceae","Muribaculum","Oscillibacter","Oscillospirales_UCG-010","Parasutterella","Prevotellaceae_UCG-001","Rikenellaceae_RC9_gut_group","Roseburia","Staphylococcus","Tyzzerella"
"Blautia",0,0,0,0,0,0.526974793692332,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG-009",0,-0.446373175557971,0,0,0,0,0,0,0,0,0.481237149577224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671998731306917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0.408742680095769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Arthromitus",0,0,0.440650674099667,0.440650674099667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_vadinBB60_group",0,0,0,0,0.471304347826087,0,0,0,0,-0.419173108096139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colidextribacter",-0.410287548549818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,-0.420536869467156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio",0,-0.413913043478261,0,0,0,0.536799747473037,0,0,0,0,0,0,0,0,-0.411460534154915,0,0.545217391304348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670434782608695,0,0,0,0,0,0,0
"Enterorhabdus",0,0,0,0,0,0,0,0,0,0.538700998000002,0,0,0,0,0,-0.505693224377596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_oxidoreducens_group",0,0,0,0,0,0,0,0,0,0,0.45549123357982,0.498969117856633,0,0,0,0,0.407738120381936,0,0.482428887178626,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_xylanophilum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448534800767677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447826086956522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431557043631607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas",0,0,0,0,0.496733205020373,0,0,0,-0.437909536004803,0,0.533334599074506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium",0,0,0,0,0,0.565271855253499,0,0,0,0,0,0,0.436878236287974,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.432638649883477,0,0,0,0,0,0,0.468846428598177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_ASF356",0,-0.463478260869565,0,0,0,0.433191143967426,0,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.422608695652174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.762608695652174,0,0,0
"Lachnospiraceae_FCS020_group",0,-0.490704455702944,0,0,0,0.497728806888322,0,-0.414031884499359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4876375528548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_GCA-900066575",0,-0.505693224377596,0,0,0,0.479178948212457,0,0,0,0,0,0.671998731306917,0,0,0,0,0,0,0.54487526597586,0,0.517241379310345,0,0,0,0,0,0,0.471408937979115,0.556472157510319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0.424259367803149,0,0,-0.473913043478261,0,0.409565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47799677711171,0.53304347826087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-001",0,0,0,0,0,0,0,0,-0.620966619339636,0,0.544983362120862,0,0,0,0,0,0,0,0,0,0,0,0.411357633908535,0,0.44814111664804,0,0.439305498632682,0,0,0,0.563324148346083,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-006",0,0,0,0,0,0,0,0,-0.441052240177941,0,0.475987071083124,0,0,0,0,0,0.408737521590646,0,0.42096471240746,0,0,0,0,0,0,0,0,0,0,0,0,0.412280701754386,1,0,0,0,0,0.720530887419409,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,0,-0.405502637858168,0,0.613043478260869,0,0,0,0,0,0,0,0,0,0,-0.409565217391304,0,0,0,0,0,0,0,0,-0.407826086956522,-0.442072139110956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mucispirillum",0,0,0,0,0,0.47785002478881,0,0,0,0,0,0,0,0,0,0,0,0,0.538260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.642608695652174,1,-0.699130434782609,0,0,0,0,0,0,0,0,0
"Muribaculaceae",0,0,0,0,0,0,0,0,0,0.416558722806559,-0.472173913043478,0,0,0.428479638416898,0.46591854602836,0,-0.650434782608696,0,-0.549565217391304,0,0,0,0,0,-0.412637144872187,0,0,0,0,0,0,0,-0.500441452716753,0.510434782608696,-0.699130434782609,1,0,0,0,0,0,0,0,0,0
"Muribaculum",0,0,0,0,0,0,0,0,0.43965245953119,0,0,0,0,0,0,0,0,0,-0.418301646332946,0,0,0,0,0,-0.405676855895197,0,0,0,0,0,0,0,-0.525165371071922,0.457081694795063,-0.437038074241609,0.466232043308596,1,0,0,0,0,0,0,0,0
"Oscillibacter",0,-0.553043478260869,0,0,0,0.523402083226622,0,0,0,0,0.566086956521739,0,0,0,0,0,0.589565217391304,0,0.670434782608695,0,0.60242388957331,0,0,0,0.429630649254463,0,0.48,0,0.409212465737991,0.422431385981285,0.614782608695652,0.420091341634831,0.720530887419409,-0.511304347826087,0.493913043478261,-0.64695652173913,-0.555556874035944,1,0,0,0,0,0,0,0
"Oscillospirales_UCG-010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.415215659296262,0,0,0,0,-0.415211700393507,0,0,0,0,-0.436067100701969,1,0,0,0,0,0,0
"Parasutterella",0,0,0,0,0,0,0,0,0,0.59741694891405,0,0,0,0,0,0,0,0,0,0.638197597516629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Prevotellaceae_UCG-001",0.497589850724192,0,0.533419237068019,0.533419237068019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474025544709817,0,0,0,-0.459006422701292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rikenellaceae_RC9_gut_group",0,0.535652173913043,0,0,0,-0.543945168404458,0,0,0,0,0,0,0,0,0,0,-0.475652173913043,0,-0.550434782608695,0,0,0,0.553043478260869,0,0,0,0,-0.762608695652174,0,-0.494673275178084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Roseburia",0,-0.600869565217391,0,0,0,0.643087883827931,0,0,-0.673913043478261,0,0.489565217391304,0,0,0,0,0,0,0,0.455652173913043,0,0,0,0,0,0,0.451417193334304,0,0,0,0,0.56,0.619219877794376,0.455026172540014,0,0,0,-0.475818122703726,0.590434782608696,-0.455105373289789,0,0,-0.557391304347826,1,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0.407919854084952,0.463455069574455,0,0,0,0,0.479848954349987,0,0,0,0,0,0,0,0,0,0,0,0,-0.431157636157003,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479848954349987,0,0,0,1
